Pontos,Lat,Long,Pequenos,Médios,Grandes,Cones,Data,anotador
81,-27.6220805555556,-48.5081027777778,20,1,16,10,2023-11-30,Lucas
83,-27.6168305555556,-48.5209861111111,0,0,1,0,2023-12-06,Lucas
84,-27.6163361111111,-48.5222416666667,0,0,4,3,2023-12-06,Lucas
85,-27.6163138888889,-48.522425,1,0,2,2,2023-12-06,Lucas
86,-27.6167,-48.5224222222222,4,0,2,0,2023-12-06,Lucas
87,-27.6162944444444,-48.5221472222222,6,2,25,20,2023-12-06,Lucas
88,-27.6160361111111,-48.5222722222222,1,1,2,2,2023-12-06,Lucas
89,-27.61695,-48.5208472222222,6,0,0,0,2023-12-06,Lucas
90,-27.6245138888889,-48.5151083333333,0,0,1,0,2023-12-06,Lucas
91,-27.6245111111111,-48.5154138888889,0,0,2,0,2023-12-06,Lucas
92,-27.6218111111111,-48.5079083333333,0,2,2,2,2023-12-08,Lucas
93,-27.6235472222222,-48.5068222222222,10,2,10,7,2023-12-08,Lucas
94,-27.6231472222222,-48.5069388888889,0,0,7,7,2023-12-08,Lucas
95,-27.6225138888889,-48.5069027777778,8,3,10,6,2023-12-08,Lucas
96,-27.6213111111111,-48.5065888888889,20,10,20,15,2023-12-08,Lucas
97,-27.6205638888889,-48.5062444444444,10,2,20,13,2023-12-08,Lucas
98,-27.6202305555556,-48.5065083333333,1,3,10,5,2023-12-08,Lucas
205,-27.6166730555556,-48.5167022222222,0,1,0,0,2023-10-24,Cure
206,-27.6167363888889,-48.5001819444444,14,3,0,0,2023-10-24,Cure
207,-27.6167355555556,-48.5001786111111,4,1,5,0,2023-10-24,Cure
208,-27.6167322222222,-48.5001747222222,19,8,0,0,2023-10-24,Cure
209,-27.6167297222222,-48.5001738888889,9,2,0,0,2023-10-24,Cure
210,-27.6167305555556,-48.5001719444444,6,2,0,0,2023-10-24,Cure
211,-27.6167305555556,-48.5001672222222,17,8,0,0,2023-10-24,Cure
212,-27.6167263888889,-48.5001630555556,7,5,0,0,2023-10-24,Cure
213,-27.6167272222222,-48.5001591666667,45,5,0,0,2023-10-24,Cure
214,-27.6167261111111,-48.5001541666667,28,10,0,0,2023-10-24,Cure
215,-27.6167227777778,-48.5001527777778,0,1,0,0,2023-10-24,Cure
216,-27.6167177777778,-48.5001547222222,0,0,1,0,2023-10-24,Cure
217,-27.6167188888889,-48.5001597222222,53,25,0,0,2023-10-24,Cure
218,-27.6167411111111,-48.5001602777778,23,5,0,0,2023-10-24,Cure
219,-27.6167316666667,-48.5001566666667,3,2,0,0,2023-10-24,Cure
220,-27.6167527777778,-48.5001663888889,1,0,0,1,2023-10-24,Cure
221,-27.61676,-48.5001736111111,2,4,0,0,2023-10-24,Cure
222,-27.6167619444444,-48.5001725,10,5,0,0,2023-10-24,Cure
223,-27.6167666666667,-48.5001727777778,16,6,0,0,2023-10-24,Cure
224,-27.6167686111111,-48.5001711111111,19,23,0,0,2023-10-24,Cure
225,-27.6167672222222,-48.5001702777778,5,0,1,0,2023-10-24,Cure
226,-27.6167594444444,-48.5001788888889,1,2,0,0,2023-10-25,Cure
227,-27.6167627777778,-48.5001819444444,12,5,0,0,2023-10-25,Cure
228,-27.6167655555556,-48.5001833333333,4,4,1,0,2023-10-25,Cure
229,-27.6167763888889,-48.5001758333333,1,1,1,0,2023-10-25,Cure
230,-27.6168061111111,-48.5001769444445,7,1,0,0,2023-10-25,Cure
231,-27.6168097222222,-48.50018,1,0,0,0,2023-10-25,Cure
232,-27.6168094444444,-48.5001830555556,1,4,1,0,2023-10-25,Cure
233,-27.6168086111111,-48.5001863888889,4,4,1,0,2023-10-25,Cure
234,-27.6168047222222,-48.5001863888889,5,0,1,1,2023-10-25,Cure
235,-27.6167980555556,-48.5001911111111,2,0,1,0,2023-10-25,Cure
236,-27.6167897222222,-48.5001913888889,3,5,1,1,2023-10-25,Cure
237,-27.6167877777778,-48.5001897222222,5,9,1,1,2023-10-25,Cure
238,-27.6167880555556,-48.5001927777778,4,3,0,0,2023-10-25,Cure
239,-27.6167847222222,-48.5001891666667,26,26,0,1,2023-10-25,Cure
240,-27.6167763888889,-48.5001919444444,11,0,0,0,2023-10-25,Cure
241,-27.6167769444444,-48.5001891666667,42,51,0,0,2023-10-25,Cure
242,-27.6167805555556,-48.5001875,8,3,0,0,2023-10-25,Cure
243,-27.6167833333333,-48.5001852777778,3,2,0,0,2023-10-25,Cure
244,-27.6167866666667,-48.5001783333333,0,1,0,0,2023-10-25,Cure
245,-27.6167911111111,-48.5001769444445,5,0,0,0,2023-10-25,Cure
246,-27.6167980555556,-48.5001763888889,6,0,0,0,2023-10-25,Cure
247,-27.6168111111111,-48.5002038888889,2,0,0,0,2023-10-25,Cure
248,-27.6167555555556,-48.5002541666667,3,5,0,0,2023-10-25,Cure
249,-27.6167541666667,-48.50026,0,1,0,0,2023-10-25,Cure
250,-27.6167530555556,-48.5002547222222,2,0,1,0,2023-10-25,Cure
251,-27.6166861111111,-48.5166716666667,2,0,0,0,2023-10-25,Cure
252,-27.6166844444444,-48.5002763888889,1,0,1,0,2023-10-25,Cure
256,-27.6166958333333,-48.5002580555556,16,12,0,0,2023-10-25,Cure
257,-27.6166994444444,-48.5002608333333,5,7,1,0,2023-10-25,Cure
258,-27.6166986111111,-48.5002569444444,2,1,0,0,2023-10-25,Cure
259,-27.6167016666667,-48.5002588888889,0,3,0,0,2023-10-25,Cure
260,-27.6235558333333,-48.5168127777778,0,1,0,0,2023-11-07,Cure
261,-27.6168016666667,-48.5002327777778,0,3,1,0,2023-11-07,Cure
262,-27.6168002777778,-48.5002305555556,2,1,0,0,2023-11-07,Cure
263,-27.6167891666667,-48.5002411111111,0,1,0,0,2023-11-07,Cure
264,-27.6167252777778,-48.5002402777778,0,1,2,0,2023-11-07,Cure
265,-27.6167183333333,-48.5002313888889,1,1,2,0,2023-11-07,Cure
